Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
0,10275, 10000,0.97324,240.000, 3.946928, 15, 5, 0.027, 0.233, 0.002000, 
0,10171, 10000,0.98319,240.000, 8.380871, 15, 10, 0.017, 0.236, 0.002000, 
0,10113, 10000,0.98883,240.000, 13.123929, 15, 15, 0.011, 0.237, 0.002000, 
0,10079, 10000,0.99216,240.000, 17.314628, 15, 20, 0.008, 0.238, 0.002000, 
0,10059, 10000,0.99413,240.000, 21.440920, 15, 25, 0.005, 0.238, 0.002000, 
1,10447, 10000,0.95721,250.000, 5.173970, 15, 5, 0.043, 0.239, 0.002000, 
1,10335, 10000,0.96759,250.000, 12.369979, 15, 10, 0.032, 0.242, 0.002000, 
1,10265, 10000,0.97418,250.000, 20.092889, 15, 15, 0.025, 0.243, 0.002000, 
1,10223, 10000,0.97819,250.000, 28.729259, 15, 20, 0.021, 0.244, 0.002000, 
1,10194, 10000,0.98097,250.000, 37.420433, 15, 25, 0.018, 0.245, 0.002000, 
2,19543, 10000,0.51169,490.000, 18.366080, 15, 5, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 38.341151, 15, 10, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 15, 15, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 78.229897, 15, 20, 0.487, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 98.148175, 15, 25, 0.487, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 18.474697, 15, 5, 0.499, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 38.449793, 15, 10, 0.499, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 15, 15, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 78.339070, 15, 20, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 98.258199, 15, 25, 0.498, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 19.923926, 15, 5, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 39.905271, 15, 10, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 15, 15, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 79.826465, 15, 20, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 99.766881, 15, 25, 0.736, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 19.980789, 15, 5, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 39.962241, 15, 10, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 15, 15, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 79.885127, 15, 20, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 99.826622, 15, 25, 0.750, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 20.327186, 15, 5, 0.834, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 40.310103, 15, 10, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 15, 15, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 80.240167, 15, 20, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 100.186875, 15, 25, 0.833, 0.250, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 5, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 10, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 20, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 25, 0.000, 0.240, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 5, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 10, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 20, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 25, 0.000, 0.250, 0.001000, 
2,10357, 10000,0.96553,490.000, 2.958465, 15, 5, 0.034, 0.473, 0.001000, 
2,10246, 10000,0.97599,490.000, 5.715917, 15, 10, 0.024, 0.477, 0.001000, 
2,10181, 10000,0.98222,490.000, 8.734454, 15, 15, 0.018, 0.480, 0.001000, 
2,10139, 10000,0.98629,490.000, 11.834578, 15, 20, 0.013, 0.482, 0.001000, 
2,10115, 10000,0.98863,490.000, 14.628888, 15, 25, 0.011, 0.483, 0.001000, 
3,10447, 10000,0.95721,500.000, 3.275490, 15, 5, 0.043, 0.478, 0.001000, 
3,10336, 10000,0.96749,500.000, 6.822113, 15, 10, 0.032, 0.483, 0.001000, 
3,10266, 10000,0.97409,500.000, 10.659182, 15, 15, 0.025, 0.486, 0.001000, 
3,10224, 10000,0.97809,500.000, 14.953690, 15, 20, 0.021, 0.488, 0.001000, 
3,10194, 10000,0.98097,500.000, 19.288437, 15, 25, 0.018, 0.490, 0.001000, 
4,18941, 10000,0.52796,950.000, 9.628386, 15, 5, 0.472, 0.500, 0.001000, 
4,18941, 10000,0.52796,950.000, 19.615534, 15, 10, 0.472, 0.500, 0.001000, 
4,18941, 10000,0.52796,950.000, 29.591604, 15, 15, 0.471, 0.500, 0.001000, 
4,18941, 10000,0.52796,950.000, 39.558816, 15, 20, 0.471, 0.500, 0.001000, 
4,18941, 10000,0.52796,950.000, 49.516682, 15, 25, 0.471, 0.500, 0.001000, 
5,19960, 10000,0.50100,1000.000, 9.737365, 15, 5, 0.499, 0.500, 0.001000, 
5,19960, 10000,0.50100,1000.000, 19.724897, 15, 10, 0.499, 0.500, 0.001000, 
5,19960, 10000,0.50100,1000.000, 29.701397, 15, 15, 0.498, 0.500, 0.001000, 
5,19960, 10000,0.50100,1000.000, 39.669535, 15, 20, 0.498, 0.500, 0.001000, 
5,19960, 10000,0.50100,1000.000, 49.629099, 15, 25, 0.498, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 10.285676, 15, 5, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 20.275750, 15, 10, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 15, 15, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 40.232478, 15, 20, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 50.200399, 15, 25, 0.665, 0.500, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 5, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 10, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 20, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 25, 0.000, 0.240, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 5, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 10, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 20, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 25, 0.000, 0.250, 0.000500, 
2,10006, 10000,0.99940,490.000, 1.477608, 15, 5, 0.001, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 15, 10, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 15, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 15, 20, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 15, 25, 0.000, 0.489, 0.000500, 
3,10006, 10000,0.99940,500.000, 1.496158, 15, 5, 0.001, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 15, 10, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 15, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 15, 20, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 15, 25, 0.000, 0.499, 0.000500, 
4,10686, 10000,0.93580,950.000, 3.088474, 15, 5, 0.064, 0.887, 0.000500, 
4,10302, 10000,0.97069,950.000, 4.936825, 15, 10, 0.029, 0.921, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 15, 15, 0.017, 0.932, 0.000500, 
4,10109, 10000,0.98922,950.000, 7.558775, 15, 20, 0.010, 0.938, 0.000500, 
4,10069, 10000,0.99315,950.000, 8.623992, 15, 25, 0.006, 0.941, 0.000500, 
5,10926, 10000,0.91525,1000.000, 3.327715, 15, 5, 0.084, 0.913, 0.000500, 
5,10512, 10000,0.95129,1000.000, 5.758563, 15, 10, 0.048, 0.950, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 15, 15, 0.035, 0.963, 0.000500, 
5,10293, 10000,0.97153,1000.000, 10.361056, 15, 20, 0.027, 0.970, 0.000500, 
5,10243, 10000,0.97628,1000.000, 12.644864, 15, 25, 0.022, 0.975, 0.000500, 
6,14978, 10000,0.66765,1500.000, 4.888231, 15, 5, 0.332, 0.996, 0.000500, 
6,14919, 10000,0.67029,1500.000, 9.832947, 15, 10, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 15, 15, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 19.795929, 15, 20, 0.328, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 24.768483, 15, 25, 0.328, 1.000, 0.000500, 
